Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea
Abbotsford,2,h,1035000,2.5,2,1,0,156,79,1900,Yarra City Council
Abbotsford,3,h,1465000,2.5,3,2,0,134,150,1900,Yarra City Council
Abbotsford,4,h,1600000,2.5,3,1,2,120,142,2014,Yarra City Council
Abbotsford,3,h,1876000,2.5,4,2,0,245,210,1910,Yarra City Council
Abbotsford,2,h,1636000,2.5,2,1,2,256,107,1890,Yarra City Council
Abbotsford,2,h,1097000,2.5,3,1,2,220,75,1900,Yarra City Council
Abbotsford,3,h,1350000,2.5,3,2,2,214,190,2005,Yarra City Council
Abbotsford,2,u,750000,2.5,2,2,1,0,94,2009,Yarra City Council
Abbotsford,2,h,1310000,2.5,2,1,2,238,97,1890,Yarra City Council
Abbotsford,3,h,1200000,2.5,3,2,1,113,110,1880,Yarra City Council
Abbotsford,3,h,1176500,2.5,2,1,1,138,105,1890,Yarra City Council
Abbotsford,2,h,890000,2.5,2,1,1,150,73,1985,Yarra City Council
Abbotsford,4,h,1330000,2.5,4,2,2,780,135,1900,Yarra City Council
Abbotsford,2,u,500000,2.5,2,1,1,0,60,1970,Yarra City Council
Abbotsford,2,h,1100000,2.5,2,2,1,124,135,2013,Yarra City Council
Abbotsford,2,h,1315000,2.5,2,1,0,147,85,1900,Yarra City Council
Abbotsford,3,h,1447500,2.5,3,3,1,166,174,2012,Yarra City Council
Abbotsford,2,h,1135000,2.5,2,2,2,98,128,1920,Yarra City Council
Abbotsford,3,h,1290000,2.5,3,1,1,168,124,1950,Yarra City Council
Abbotsford,1,u,470000,2.5,1,1,1,0,50,2013,Yarra City Council
Abbotsford,2,h,1180000,2.5,2,1,0,162,91,1900,Yarra City Council
Abbotsford,3,h,1195000,2.5,3,2,1,120,128,1998,Yarra City Council
Abbotsford,2,h,1012500,2.5,2,1,0,182,82,1900,Yarra City Council
Abbotsford,2,h,1030000,2.5,2,1,1,172,81,1930,Yarra City Council
